system:index,Date,NDWI,.geo
0,2010-01-01,-0.1635189153197671,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2010-02-01,-0.14467861663979337,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2010-04-01,-0.1490003541871167,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2010-05-01,-0.11014630317579946,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2010-06-01,-0.1682802122135885,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2011-01-01,-0.13946233165324387,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2011-02-01,-0.1652455963799794,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2011-03-01,-0.15730331315085905,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2011-04-01,-0.16687287085852215,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2011-05-01,-0.18309387336468788,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2011-06-01,-0.05934199593891205,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2011-07-01,-0.11002430621823805,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2011-10-01,-0.04961888660288474,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2011-11-01,-0.17806433988485532,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2013-04-01,-0.1784759073010699,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2013-05-01,-0.17568056114440772,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2013-06-01,-0.07959612965419281,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2013-07-01,-0.11141629421872602,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2013-08-01,-0.004321594720340898,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2013-09-01,-0.09927852928505197,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2013-10-01,-0.03244581208710664,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2013-11-01,-0.21976736326417506,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2013-12-01,-0.16830694047516193,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2014-01-01,-0.16590028568557544,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2014-03-01,-0.17637666034578384,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2014-04-01,-0.19248789775299835,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2014-05-01,-0.1957002844625974,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2014-06-01,-0.2102908167573921,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2014-07-01,-0.14159156143504736,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2014-08-01,-0.188351353465591,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2014-09-01,-0.22932702067009308,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2014-10-01,-0.2319935515569566,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2014-11-01,-0.197462446952351,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2014-12-01,-0.1499605156995996,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2015-01-01,-0.1641703178182235,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2015-02-01,-0.16390365651421657,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2015-03-01,-0.1820576676999262,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2015-04-01,-0.1736652278469357,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2015-05-01,-0.20137891782789255,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2015-06-01,-0.14126907845374334,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2015-07-01,-0.13943952771892412,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2015-08-01,-0.19410301777208197,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2015-09-01,-0.22921711994408908,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2015-10-01,-0.20135868732626624,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2015-11-01,-0.18922280957713228,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2015-12-01,-0.17225812805852955,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2016-01-01,-0.07583842224404322,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2016-02-01,-0.15447430034824516,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2016-03-01,-0.15744411919429963,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2016-04-01,-0.171049040849129,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2016-05-01,-0.183873795910842,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2016-06-01,-0.1385391585285046,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2016-07-01,-0.06225769559226707,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2016-08-01,-0.16694985735066797,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2016-09-01,-0.20076144153402897,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2016-10-01,-0.21653374827553407,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2016-11-01,-0.20316659039161467,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2016-12-01,-0.17128217637445464,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2017-01-01,-0.1595104921452324,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2017-02-01,-0.1592183287620289,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2017-03-01,-0.1585247935253938,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2017-04-01,-0.17594309022421084,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2017-05-01,-0.17579551448971803,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2017-06-01,-0.20317943054527304,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2017-07-01,-0.15094103727103356,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2017-08-01,-0.15726307006908083,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2017-09-01,-0.18464507998157773,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2017-10-01,-0.19603826769896027,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2017-11-01,-0.20213227674331588,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2017-12-01,-0.15645131877386934,"{""type"":""MultiPoint"",""coordinates"":[]}"
